lt;pl;id;class;;;;
sesuo;siostra;1;NEW;;;;
brolis;brat;2;NEW;;;;
nulis;0;3;NEW;;;;
vienas;1;4;NEW;;;;
du;2;5;NEW;;;;
trys;3;6;NEW;;;;
keturi;4;7;NEW;;;;
penki;5;8;NEW;;;;
šeši;6;9;NEW;;;;
septyni;7;10;NEW;;;;
aštuoni;8;11;NEW;;;;
devyni;9;12;NEW;;;;
dešimt;10;13;NEW;;;;
dvidešimt;20;14;NEW;;;;
tamsus;ciemny;15;NEW;;;;
šviesus;jasny;16;NEW;;;;
raudonas;czerwony;17;NEW;;;;
žalias;zielony;18;NEW;;;;
mėlynas;niebieski;19;NEW;;;;
geltonas;żółty;20;NEW;;;;
rožinis;różowy;21;NEW;;;;
violetinis;fioletowy;22;NEW;;;;
oranžinis;pomarańczowy;23;NEW;;;;
rudas;brązowy;24;NEW;;;;
kaštoninė;bordowy;25;NEW;;;;
spalva;kolor;26;NEW;;;;
baltas;biały;27;NEW;;;;
pilkas;szary;28;NEW;;;;
juodas;czarny;29;NEW;;;;
arba;albo lub;30;NEW;;;;
bet;ale lecz;31;NEW;;;;
nes;bo;32;NEW;;;;
ir;i;33;NEW;;;;
elnias;jeleń;34;NEW;;;;
vanduo;woda;35;NEW;;;;
gerai;dobrze;36;NEW;;;;
gal;może;37;NEW;;;;
betonas;beton;38;NEW;;;;
cukrus;cukier;39;NEW;;;;
kalp;jak (porównanie);40;NEW;;;;
mana(s)/mano;moja/mój;41;NEW;;;;
tava(s)/tavo;twoja/twój;42;NEW;;;;
sava(s);swoja/swój;43;NEW;;;;
jo(s);jej/jego;44;NEW;;;;
mūsų;nasz;45;NEW;;;;
jūsų;wasz;46;NEW;;;;
jų;ich;47;NEW;;;;
tarp;między;48;NEW;;;;
apie;nad;49;NEW;;;;
pagal;pod;50;NEW;;;;
dangus;niebo;51;NEW;;;;
gražus;ładny;52;NEW;;;;
bjaurus;brzydki;53;NEW;;;;
mažas;mały;54;NEW;;;;
didelis;duży;55;NEW;;;;
naujas;nowy;56;NEW;;;;
