pl;lt
siostra;sesuo
brat;brolis
0;nulis
1;vienas
2;du
3;trys
4;keturi
5;penki
6;šeši
7;septyni
8;aštuoni
9;devyni
10;dešimt
20;dvidešimt
ciemny;tamsus
jasny;šviesus
czerwony;raudonas
zielony;žalias
niebieski;mėlynas
żółty;geltonas
różowy;rožinis
fioletowy;violetinis
pomarańczowy;oranžinis
brązowy;rudas
bordowy;kaštoninė
kolor;spalva
biały;baltas
szary;pilkas
czarny;juodas
albo,lub;arba
ale,lecz;bet
bo;nes
i;ir
jeleń;elnias
woda;vanduo
dobrze;gerai
może;gal
beton;betonas
cukier;cukrus
jak (porównanie);kalp
moja/mój;mana(s)/mano
twoja/twój;tava(s)/tavo
swoja/swój;sava(s)
jej/jego;jo(s)
nasz;mūsų
wasz;jūsų
ich;jų
między;tarp
nad;apie
pod;pagal
niebo;dangus
ładny;gražus
brzydki;bjaurus
mały;mažas
duży;didelis
nowy;naujas
inny;kitas
dziwny;keistas
penis;varpa
pochwa;makštis
ręka;ranka
noga;koja
oko;akis
ucho;ausis
nos;nosis
ząb;dantis
zawsze;visada
dopiero;tik
dziewczyna;mergina, mergaitė
chłopak;berniukas
pies;šuo
kot;katė
już;jau
jeszcze;daugiau
teraz;dabar
tutaj;čia
dzisiaj;šiandien
telefon;telefonas
komputer;kompiuteris
ważny;svarbus
główny;pagrindinis
zły;blogas
dobry;geras
owoc;vaisius
stary;senas
młody;jaunas
nikt;niekas
rzecz;dalykas
jutro;rytoj
lekarz;gydytojas
z (with);su
tani;pigus
drogi;brangus
sól;druska
piosenka;daina
ser;sūris
wiśnia;vyšnia
las;miškas
drzewo;medis
brzoza;beržas
spodnie;kelnės
buty;apavas
buty;avalynė
ponadto;be to
twarz;veidas
długi;ilgas
iść;eiti
być;būti
widzieć;pamatyti
lubić;patikti
kałuża;bala
kciuk;nykštys
pić;gerti
jeść;valgyti
spać;miegoti
mówić;kalbėti
zabijać;nužudyti
słyszeć;girdėti
mieć;turėti
wymiotować;vemti
czytać;skaityti
kupować;pirkti
sprzedawać;parduoti
minuta;minutė
godzina;valanda
sekunda;sekundė
pierwszy;pirmasis
drugi;antras
trzeci;terčias
otwierać;atverti
pomysł;idėja
chwila;momentas
zamykać;uždaryti
myśleć;(pa)galvoti
myśl;mintis
podejście;požiuris
rozwój;vystymasis
fotografia, zdjęcie;nuotrauka
nauczyciel;mokytojas
student;studentas
uczeń;mokynis
uczyć się;mokytis
też;taip pat
zwierzę;gyvūnas
roślina;augalas
kwiat;gėlė
następny;kitas
poprzedni;ankstesnis
ostatni;paskutinis
sos;padažas
chleb;duona
zdanie;sakinys
makaron;makaronai
włos;plaukas
drzwi;durys
okno;langas
zdrowy;sveikas
chory;sergantis
mieszkać;gyventi
smaczny;skanus
osoba;asmuo
łóżko;lova
usta;burna
wynagrodzenie;atlyginimas
dyrektor;direktorius
wypadek;avarija
prezydent;prezidentas
rozmowa;pokalbis
musieć;turi
chcieć;norėti
dowód;įrodymas
rzucać;mesti
łapać;sugauti
dawać;duoti
tracić;prarasti
wieża;bokštas
siać;sėti
włożyć;sudėti
początek;pradžia
koniec;pabaiga
środek;centras
zaczynać;pradėti
kończyć;baigti
biegać;bėgti, paleisti
rower;dviratis
tyłek;asilas
trójkąt;trikampis
jajko;kiaušinis
pępek;bamba
marchew;morka
ksiądz;kunigas
papryka;pipiras
niewolnik;vergas
niedźwiedź;lokys
gałąź;šaka
trucizna;nuodai
sejf;seifas
indyk;kalakutas
skarb;lobis
klaskać;ploti
kręgosłup;stuburas
struś;strutis
żółw;vėžlys
kiwi;kivis
diament;deimantas
korzeń;šaknis
deska;lenta
szalik;šalikas
samochód;mašina
wnuk;anūkas
piec (czas.);kepti
rogi (poroże);ragas
kąt;kampas
poziomka;žemuogė
garnitur;kostiumas
pustynia;dykuma
homar;omaras
ośmiornica;aštuonkojis
szachy;šachmatai
ziarno;sėklos
bóbr;bebras
krab;krabas
cukierek;saldainis
komin;kaminas
petarda;petarda
labirynt;labirintas
góra;kalnas
wulkan;ugnikalnis
stopa;pėdos
świat;pasaulis
gruby;storas
ścieżka;kelias
deszcz;lietus
bakłażan;baklažanas
pomidor;pomidoras
krzesło;kėdė
